Your session has expired,A sua sessão expirou
Import from Modules,Import from Modules
Import from Template,Import from Template
Add Layer,Add Layer
Quick Style Headline,Quick Style Headline
Quick Style Content,Quick Style Content
Media Gallery,Media Gallery
Empty Placeholder,Empty Placeholder
Button,Button
Shape,Shape
Video,Video
Icon / SVG,Icon / SVG
Row,Row
Layer Library,Layer Library
Import Layer,Import Layer
Multiple Selection,Multiple Selection
No Layers Selected,No Layers Selected
Lock/Unlock Selected,Lock/Unlock Selected
Unlock All,Unlock All
Hide Highlight Boxes,Hide Highlight Boxes
Show Highlight Boxes,Show Highlight Boxes
Show/Hide Selected,Show/Hide Selected
Set All Visible,Set All Visible
Single Select,Single Select
Add to Selection,Add to Selection
Drag to Select,Drag to Select
Open Document,Open Document
Optimize File Sizes,Optimize File Sizes
"The Current Size is set to ""Auto Size"". Do you want to continue with Custom Size?","The Current Size is set to ""Auto Size"". Do you want to continue with Custom Size?"
Browse Files...,Browse Files...
Select Color,Select Color
Current Color,Current Color
Please Wait...,Please Wait...
Global Color Skin,Global Color Skin
SKIN TITLE,SKIN TITLE
SKIN COLOR,SKIN COLOR
Add Skin,Add Skin
Show this Modal on Editor launch,Show this Modal on Editor launch
Module Creation Guide,Module Creation Guide
Welcome to Slider Revolution 6,Welcome to Slider Revolution 6
This Guide will help you with the basic configuration *<br>of your Slider Revolution 6 Module.,This Guide will help you with the basic configuration *<br>of your Slider Revolution 6 Module.
Start Guide,Start Guide
Quit Guide,Quit Guide
* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation,* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation
What type of module would you like to create?,What type of module would you like to create?
A Slider consists of multiple Slides.<br>Each Slide has its own content and can be<br>navigated to with various optional<br>navigation elements.,A Slider consists of multiple Slides.<br>Each Slide has its own content and can be<br>navigated to with various optional<br>navigation elements.
A Scene is essentially a Slider with a single<br>Slide and no navigation elements.<br>Best used for content modules that require<br>no additional depth.,A Scene is essentially a Slider with a single<br>Slide and no navigation elements.<br>Best used for content modules that require<br>no additional depth.
A Carousel is a Slider with multiple Slides<br>visible at the same time.<br>There are lots of options to customize the Carousel.,A Carousel is a Slider with multiple Slides<br>visible at the same time.<br>There are lots of options to customize the Carousel.
Previous Step,Previous Step
Module Type,Module Type
Next Step,Next Step
What size should the module have?,What size should the module have?
"The module dimensions will automatically<br>adjust to the surrounding container width,<br>keeping its aspect ratio.","The module dimensions will automatically<br>adjust to the surrounding container width,<br>keeping its aspect ratio."
The module will always span across the<br>full-width of the web-page. The height can<br>be flexible depending on other settings.,The module will always span across the<br>full-width of the web-page. The height can<br>be flexible depending on other settings.
The module will always fit the full area<br>within the web-page.,The module will always fit the full area<br>within the web-page.
Module Dimensions,Module Dimensions
How would you like your content to resize?,How would you like your content to resize?
"Classic, Linear Resizing","Classic, Linear Resizing"
"Layers will resize in a linear fashion, as the module size changes. You only need to configure one screen size.","Layers will resize in a linear fashion, as the module size changes. You only need to configure one screen size."
Four custom device sizes are activated and a layers size / position is automatically calculated from its desktop device size. You can make individual adjustments to layers in all device sizes.,Four custom device sizes are activated and a layers size / position is automatically calculated from its desktop device size. You can make individual adjustments to layers in all device sizes.
Manual Custom Sizes,Manual Custom Sizes
Four custom device sizes are activated and layers need to be manually adjusted to their respective device sizes.,Four custom device sizes are activated and layers need to be manually adjusted to their respective device sizes.
Responisvity,Responisvity
Go to Editor,Go to Editor
Layer Import,Layer Import
Import Selected Layers,Import Selected Layers
Navigation Editor,Navigation Editor
Save Navigation,Save Navigation
Factory Skins,Factory Skins
Add New Navigation ,Add New Navigation 
CSS,CSS
Markup,Markup
Markup Meta,Markup Meta
Slide Title,Slide Title
Slide Description,Slide Description
Meta Values,Meta Values
Add New Meta,Add New Meta
Meta Config,Meta Config
Can not be Empty,Can not be Empty
Handle,Handle
CSS/JS Editor,CSS/JS Editor
CUSTOM CSS,CUSTOM CSS
CUSTOM JS,CUSTOM JS
Methods,Methods
Call this function to start the slider.,Call this function to start the slider.
Start Slider,Start Slider
Call this function to pause the slider.,Call this function to pause the slider.
Call this function to play the slider if it is paused.,Call this function to play the slider if it is paused.
Resume Slider,Resume Slider
Switch slider to previous slide.,Switch slider to previous slide.
Switch slider to next slide.,Switch slider to next slide.
Scroll page under the slider.,Scroll page under the slider.
External Scroll,External Scroll
Remove One Slide with Slide Index from the Slider. Index starts with 0 which will remove the first slide.,Remove One Slide with Slide Index from the Slider. Index starts with 0 which will remove the first slide.
Remove Slide,Remove Slide
Switch to the slide which is defined as parameter.,Switch to the slide which is defined as parameter.
Go To Slide,Go To Slide
Go To Slide with ID,Go To Slide with ID
Get the amount of existing slides in the slider.,Get the amount of existing slides in the slider.
Max Slides,Max Slides
Get the current focused slide index.,Get the current focused slide index.
Current Slide,Current Slide
Get the previously played slide.,Get the previously played slide.
"Recalculate all positions, sizing etc in the slider.  This should be called i.e. if Slider was invisible and becomes visible without any window resize event.","Recalculate all positions, sizing etc in the slider.  This should be called i.e. if Slider was invisible and becomes visible without any window resize event."
Redraw Slider,Redraw Slider
"Unbind all listeners, remove current animations and delete containers. Ready for Garbage collection.","Unbind all listeners, remove current animations and delete containers. Ready for Garbage collection."
Kill Slider,Kill Slider
Events,Events
Slider Loaded,Slider Loaded
Slider swapped to an other slide,Slider swapped to an other slide
Index of Current Slide,Index of Current Slide
Current <li> Index,Current <li> Index
Current Slide as jQuery Object,Current Slide as jQuery Object
Prev. Slide as jQuery Object,Prev. Slide as jQuery Object
Slider paused,Slider paused
Timer Paused,Timer Paused
Slider is Playing after pause,Slider is Playing after pause
Timer Resumed,Timer Resumed
Video is playing in slider,Video is playing in slider
Video is playing,Video is playing
Video API,Video API
"youtube, vimeo, html5","youtube, vimeo, html5"
Video Settings,Video Settings
Video stopped in slider,Video stopped in slider
Video is stopped,Video is stopped
Slider reached the 'stop at' slide,Slider reached the 'stop at' slide
Slider Stopped,Slider Stopped
Prepared for slide change,Prepared for slide change
Slider Before Swap,Slider Before Swap
Coming Slide as jQuery Object,Coming Slide as jQuery Object
Finnished with slide change,Finnished with slide change
Slider After Swap,Slider After Swap
Previous Slide as jQuery Object,Previous Slide as jQuery Object
Last slide starts,Last slide starts
"Last Slide Started, Slider is at the end","Last Slide Started, Slider is at the end"
Layer Events,Layer Events
"Layer Action (enterstage, enteredstage, leavestage,leftstage)","Layer Action (enterstage, enteredstage, leavestage,leftstage)"
"Layer Type (image,video,html)","Layer Type (image,video,html)"
Default Settings for Layer,Default Settings for Layer
Layer as jQuery Object,Layer as jQuery Object
Meta Datas,Meta Datas
Social,Social
Product Attributes,Product Attributes
Any custom product attribute,Any custom product attribute
Product Attribute,Product Attribute
Product Name,Nome do Produto
Product Price,Preço do Produto
$9.99,$9.99
Product Special Price,Product Special Price
Short Description,Descrição Curta
"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt.","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt."
Product Links,Product Links
Link to view product,Link to view product
http://yoursite.com/link,http://yoursite.com/link
Add to cart link,Add to cart link
Add to wishlist link,Add to wishlist link
Product Images,Product Images
Base Image URL,Base Image URL
http://yoursite.com/image,http://yoursite.com/image
Thumbnail URL,Thumbnail URL
Small Image URL,Small Image URL
"Social Basics (Flickr, Instagram, Twitter, Facebook, YouTube)","Social Basics (Flickr, Instagram, Twitter, Facebook, YouTube)"
Post Title,Post Title
Post content,Post content
Post content limit by words,Post content limit by words
Post content limit by chars,Post content limit by chars
The link to the post,The link to the post
http://yoursite.com/post,http://yoursite.com/post
Date created,Date created
08.03.2018,08.03.2018
Username,Username
John Doe,John Doe
Flickr Extras,Flickr Extras
Views,Views
24,24
Twitter Extras,Twitter Extras
Date Published,Date Published
Retweet Count,Retweet Count
19824,19824
Favorite Count,Favorite Count
1249,1249
Facebook Extras,Facebook Extras
Date Modified,Date Modified
18.08.2018,18.08.2018
Number of Likes,Number of Likes
212,212
YouTube Extras,YouTube Extras
Excerpt,Excerpt
"Excerpt ipsum dolor sit amet, consetetur sadipscing elitr sed diam nonumy.","Excerpt ipsum dolor sit amet, consetetur sadipscing elitr sed diam nonumy."
Vimeo Extras,Vimeo Extras
321,321
Number of Views,Number of Views
1786,1786
Number of Comments,Number of Comments
124,124
Reset before each Loop,Reset before each Loop
Keep Last State,Keep Last State
No Action Selected,No Action Selected
Click,Click
Mouse Enter,Mouse Enter
Mouse Leave,Mouse Leave
Enter Link,Enter Link
Same Window,Same Window
New Window,New Window
Follow Link,Follow Link
No Follow,No Follow
Open Modal,Open Modal
Open Slide,Open Slide
Function,Function
javaScript Function,javaScript Function
Scroll to ID,Scroll to ID
ID of Element,ID of Element
Offset to Scroll Position,Offset to Scroll Position
Animation Ease,Animation Ease
Animation Duration in ms,Animation Duration in ms
Toggle Start State,Toggle Start State
Toggled (Visible),Toggled (Visible)
Untoggled (Hidden),Untoggled (Hidden)
Frame wait's on Action,Frame wait's on Action
GoTo Frame,GoTo Frame
Frame N,Frame N
Frame M,Frame M
"""N"" wait's on Action","""N"" wait's on Action"
"""M"" wait's on Action","""M"" wait's on Action"
Reset Children Timelines,Reset Children Timelines
After Action,After Action
Class to Toggle,Class to Toggle
class Name to Toggle,class Name to Toggle
Trigger Repeat Delay,Trigger Repeat Delay
registered license key,registered license key
registered purchase code,registered purchase code
File Size Optimizer Dimensions,File Size Optimizer Dimensions
Where do the available Dimensions come from?,Where do the available Dimensions come from?
Those are all sizes that are already generated for the used image in the WordPress Media Library AND have the same aspect ratio.,Those are all sizes that are already generated for the used image in the WordPress Media Library AND have the same aspect ratio.
Why are my choices not exactly 1X or 2X?,Why are my choices not exactly 1X or 2X?
"The File Size Optimizer looks at the required media size throughout all device layouts and in that way evaluates the available Dimensions.<br>If available, there is always a choice shown that is the closest to 1X or 2X.<br>If no fitting size is available, you can hover the standard (1X) or retina (2X) lines to get an info on the currently optimal size for your media.","The File Size Optimizer looks at the required media size throughout all device layouts and in that way evaluates the available Dimensions.<br>If available, there is always a choice shown that is the closest to 1X or 2X.<br>If no fitting size is available, you can hover the standard (1X) or retina (2X) lines to get an info on the currently optimal size for your media."
Slider Revolution Block Settings,Slider Revolution Block Settings
Module Layout,Module Layout
Auto Width,Auto Width
Insert Module as Pop Up Module,Insert Module as Pop Up Module
1 Time Per Session,1 Time Per Session
Session (hours),Session (hours)
Relating on Pop Up after Time and Scroll Position ,Relating on Pop Up after Time and Scroll Position 
Pop Up by Actions,Pop Up by Actions
Pop Up's can also be triggered by Layer Actions.<br>See more details in ,Pop Up's can also be triggered by Layer Actions.<br>See more details in 
Pop Up / Modal Documentation,Pop Up / Modal Documentation
Block Offsets (Module Wrapping Offset),Block Offsets (Module Wrapping Offset)
Block Depth,Block Depth
Z-Index,Z-Index
Pop Up after Time,Pop Up after Time
After (ms),After (ms)
Pop Up at Scroll Position,Pop Up at Scroll Position
Container,Container
Pop Up by Events,Pop Up by Events
Listen to,Listen to
Pop Up on URL Hash ,Pop Up on URL Hash 
"https://yourwebsite.com/yourpage/#<span id=""srbs_scr_hash""></span>","https://yourwebsite.com/yourpage/#<span id=""srbs_scr_hash""></span>"
Copyright & Licensing - Slider Revolution Library,Copyright & Licensing - Slider Revolution Library
Templates,Templates
Terms of using Layer Group Objects from the Library,Terms of using Layer Group Objects from the Library
Templates from the Slider Revolution Library <b>must only</b> be used with a,Templates from the Slider Revolution Library <b>must only</b> be used with a
on that particular website.,on that particular website.
"Media assets used in the respective templates, are licensed according to the here mentioned license terms (see list on the left).","Media assets used in the respective templates, are licensed according to the here mentioned license terms (see list on the left)."
Slider Revolution Add-Ons <b>must only</b> be used with a,Slider Revolution Add-Ons <b>must only</b> be used with a
Buy another License,Buy another License
One License Key / Purchase Code is required for each Website,One License Key / Purchase Code is required for each Website
Terms of using JPG Images from the Library,Terms of using JPG Images from the Library
The pictures are free for personal and even for commercial use.,The pictures are free for personal and even for commercial use.
"You can modify, copy and distribute the photos. All without asking for permission or setting a link to the source. So, attribution is not required.","You can modify, copy and distribute the photos. All without asking for permission or setting a link to the source. So, attribution is not required."
"The only restriction is that identifiable people may not appear in a bad light or in a way that they may find offensive, unless they give their consent.","The only restriction is that identifiable people may not appear in a bad light or in a way that they may find offensive, unless they give their consent."
The CC0 license was released by the non-profit organization Creative Commons (CC). Get more information about Creative Commons images and the license on the official license page.,The CC0 license was released by the non-profit organization Creative Commons (CC). Get more information about Creative Commons images and the license on the official license page.
Images from,Images from
Pexels,Pexels
under the license,under the license
CC0 Creative Commons,CC0 Creative Commons
Terms of using PNG Objects from the Library,Terms of using PNG Objects from the Library
PNG Objects from the Slider Revolution Library <b>must only</b> be used with a,PNG Objects from the Slider Revolution Library <b>must only</b> be used with a
Licenses via extended license and cooperation with author ,Licenses via extended license and cooperation with author 
Ceacle,Ceacle
"If you need .psd files for objects, you can purchase it from the original author","If you need .psd files for objects, you can purchase it from the original author"
here,here
Terms of using HTML5 Videos from the Library,Terms of using HTML5 Videos from the Library
The videos are free for personal and even for commercial use.,The videos are free for personal and even for commercial use.
"You can modify, copy and distribute the videos. All without asking for permission or setting a link to the source. So, attribution is not required.","You can modify, copy and distribute the videos. All without asking for permission or setting a link to the source. So, attribution is not required."
Videos from,Videos from
Terms of using SVG Objects from the Library,Terms of using SVG Objects from the Library
Usage only allowed within Slider Revolution Plugin,Usage only allowed within Slider Revolution Plugin
A variety of sizes and densities can be also downloaded from the ,A variety of sizes and densities can be also downloaded from the 
git repository,git repository
", making it even easier for developers to customize, share, and re-use outside of Slider Revolution.",", making it even easier for developers to customize, share, and re-use outside of Slider Revolution."
Licenses via Apache License. Read More at,Licenses via Apache License. Read More at
Google Material Design Icons,Google Material Design Icons
Terms of using ICON Objects from the Library,Terms of using ICON Objects from the Library
"Please check the listed license files for details about how you can use the ""FontAwesome"" and ""Stroke 7 Icon"" font sets for commercial projects, open source projects, or really just about whatever you want.","Please check the listed license files for details about how you can use the ""FontAwesome"" and ""Stroke 7 Icon"" font sets for commercial projects, open source projects, or really just about whatever you want."
Please respect all other icon fonts licenses for fonts not included directly into Slider Revolution.,Please respect all other icon fonts licenses for fonts not included directly into Slider Revolution.
Further License Information,Further License Information
<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -,<b>Font Awesome 4.6.3</b> by @davegandy - http://fontawesome.io - @fontawesome <br>License -
http://fontawesome.io/license,http://fontawesome.io/license
"(Font: SIL OFL 1.1, CSS: MIT License)","(Font: SIL OFL 1.1, CSS: MIT License)"
<b>Stroke 7 Icon Font Set</b> by www.pixeden.com <br>Get your Freebie Iconset at,<b>Stroke 7 Icon Font Set</b> by www.pixeden.com <br>Get your Freebie Iconset at
http://www.pixeden.com/icon-fonts/stroke-7-icon-font-set,http://www.pixeden.com/icon-fonts/stroke-7-icon-font-set
Layer Group Objects from the Slider Revolution Library <b>must only</b> be used with a,Layer Group Objects from the Slider Revolution Library <b>must only</b> be used with a
"Media assets used in the respective Layer Group Objects, are licensed according to the here mentioned license terms (see list on the left).","Media assets used in the respective Layer Group Objects, are licensed according to the here mentioned license terms (see list on the left)."
Decision Modal Title,Decision Modal Title
Do It,Do It
Dont Do It,Dont Do It
Copy Embed Code,Copy Embed Code
Check for Updates,Check for Updates
Slider Revolution Addons,Slider Revolution Addons
Please select an Addon to start with.,Please select an Addon to start with.
Welcome to Slider Revolution %s,Welcome to Slider Revolution %s
What's new?,What's new?
Check out our Change Log to learn about new Features and Bug Fixes in Version %s.,Check out our Change Log to learn about new Features and Bug Fixes in Version %s.
More Info,More Info
Docs & FAQs,Docs & FAQs
Checkout our all new Help Center<br>with updated %s Support Material.,Checkout our all new Help Center<br>with updated %s Support Material.
Help Center,Help Center
Clear your Browser Cache,Clear your Browser Cache
"To make sure that all Slider Revolution files<br>are updated, please clear your cache.","To make sure that all Slider Revolution files<br>are updated, please clear your cache."
How to?,How to?
Lets get Started with ,Lets get Started with 
Slider Revolution %s,Slider Revolution %s
Activate Slider Revolution to,Activate Slider Revolution to
Unlock all Features,Unlock all Features
Global Custom Fonts,Global Custom Fonts
Font Family Name,Font Family Name
Font CSS URL,Font CSS URL
Available Font Weights,Available Font Weights
Front End,Front End
in Editor,in Editor
Add Custom Font,Add Custom Font
Global Settings,Global Settings
Include libraries globally,Include libraries globally
List of pages to include RevSlider libraries ,List of pages to include RevSlider libraries 
"(ie. cms_page_view,catalog_product_view,about-us)","(ie. cms_page_view,catalog_product_view,about-us)"
Cross-origin image defaults,Cross-origin image defaults
Unset,Unset
Anonymous,Anonymous
Use Credentials,Use Credentials
3rd Party Lazy Loading Data,3rd Party Lazy Loading Data
(i.e. lazy-src),(i.e. lazy-src)
Fonts,Fonts
Enable custom font selection in editor,Enable custom font selection in editor
Edit Custom Fonts,Edit Custom Fonts
Disable SR Font Awesome library,Disable SR Font Awesome library
Enable Google Fonts download,Enable Google Fonts download
Load from Google,Load from Google
Cache Fonts Local,Cache Fonts Local
"Disable, Load on your own","Disable, Load on your own"
Optional Google Fonts loading URL,Optional Google Fonts loading URL
(ie. http://fonts.useso.com/css?family for chinese Environment),(ie. http://fonts.useso.com/css?family for chinese Environment)
Update Preload Fonts,Update Preload Fonts
Miscellaneous,Miscellaneous
Editor High Contrast mode,Editor High Contrast mode
Default Layout Grid Breakpoints,Default Layout Grid Breakpoints
Default desktop content width,Default desktop content width
Default notebook content width,Default notebook content width
Default tablet content width,Default tablet content width
Default mobile content width,Default mobile content width
Modules Optimization,Modules Optimization
Force 1xDPR on mobile,Force 1xDPR on mobile
Force viewport loading,Force viewport loading
No Change,No Change
ViewPort Distance if Forced,ViewPort Distance if Forced
Default lazy loading in modules,Default lazy loading in modules
Third-party lazy loading data,Third-party lazy loading data
(i.e. lazy-src for WP Rocket),(i.e. lazy-src for WP Rocket)
Use internal caching,Use internal caching
Clear Cache,Clear Cache
Save Global Settings,Save Global Settings
Good Evening ,Good Evening 
Good Morning ,Good Morning 
Good Afternoon ,Good Afternoon 
Modules,Modules
Updates,Updates
Activation,Activation
Globals,Globals
FAQ's,FAQ's
Support,Support
You are running Slider Revolution ,You are running Slider Revolution 
New Blank Module,New Blank Module
New Module from Template,New Module from Template
Manual Import,Manual Import
AddOns,AddOns
Search Modules...,Search Modules...
Show all Modules,Show all Modules
Add Folder,Add Folder
Show All,Show All
Plugin Updates,Plugin Updates
System Requirements,System Requirements
Upload folder writable,Upload folder writable
Memory Limit (256M),Memory Limit (256M)
Upload Max. Filesize (256M),Upload Max. Filesize (256M)
Max. Post Size (256M),Max. Post Size (256M)
ThemePunch Server,ThemePunch Server
Update History,Update History
Find My Key,Find My Key
Find My Code,Find My Code
xxxx xxxx xxxx xxxx,xxxx xxxx xxxx xxxx
Deregister this Key,Deregister this Key
1 License Key per Website,1 License Key per Website
1 Purchase Code per Website,1 Purchase Code per Website
"If you want to use Slider Revolution on another domain, you need to use a different license key.","If you want to use Slider Revolution on another domain, you need to use a different license key."
Buy License Key,Buy License Key
Register to Unlock All Premium Features,Register to Unlock All Premium Features
Register to Unlock,Register to Unlock
Connect with NWDthemes,Connect with NWDthemes
Youtube,Youtube
You might also like!,Você pode gostar também!
More Choices:,Mais escolhas:
New Products,Novos Produtos
Check items to add to the cart or,Verificar itens a adicionar ao carrinho ou
select all,select all
Quantity,Quantity
Availability,Disponibilidade
Shopping Cart Items,Artigos do carrinho de compras
Item,Item
Clear Shopping Cart,Limpar o carrinho de compras
Update Shopping Cart,Actualizar carrinho de compras
Update Cart,Carrinho de actualização
See price before order confirmation.,Ver preço antes da confirmação da encomenda.
What's this?,O que é isto?
My Cart,Meu Carrinho
* Required Fields,* Required Fields
Drop a question,Deixar cair uma pergunta
Your name,Seu nome
Your email,Seu e-mail
Your mail,Seu mail
Phone number,Número de telefone
What’s on your mind?,O que está em sua mente?
Ask a question,Fazer uma pergunta
My Account,Minha Conta
Create an Account,Criar uma conta
Remove This Item,Remove This Item
Sign Up for Our Newsletter:,Sign Up for Our Newsletter:
Enter your email,Enter your email
Subscribe,Inscreva-se
View the product,View the product
Review,Review
Reviews,Reviews
Add Your Review,Add Your Review
Be the first to review this product,Be the first to review this product
Customer Reviews,Customer Reviews
Review by,Review de
Posted on,Posted on
The store will not work correctly in the case when cookies are disabled.,The store will not work correctly in the case when cookies are disabled.
Tag:,Tag:
Share:,Share:
Estimated Delivery,Entrega estimada
Free Shipping &amp; Returns,Envio grátis &amp; Devoluções
On all orders over %1,Em todos os pedidos acima de %1
Currency,Moeda
Language,Linguagem
Sign in,Sign in
Don't have an account yet?,Ainda não tem uma conta?
Sign up,Sign up
for free,for free
Forgot your password?,Esqueceu-se da sua senha?
Ask A Question,Fazer uma pergunta
Ask A Question:,Fazer uma pergunta:
Name : %customer_name,Name : %customer_name
Telephone : %phone,Telephone : %phone
Product name : %product,Product name : %product
Message : %message,Message : %message
My billing and shipping address are the same,O meu endereço de faturamento e expedição são os mesmos
Update,Update
Save in address book,Save in address book
Email Address,Email Address
You can create an account after checkout.,You can create an account after checkout.
You already have an account with us. Sign in or continue as guest.,Já tem uma conta connosco. Inicie a sessão ou continue como convidado.
Login,Login
Forgot Your Password?,Esqueceu-se da sua senha?
Create New Account,Criar Nova Conta
Confirm Password,Confirm Password
Order comment,Comentar no Pedido
Gift options,Gift options
Message:,Message:
No Payment Methods,No Payment Methods
Payment Method,Métodos de Pagamento
No Payment method available.,No Payment method available.
Apply Discount,Aplicar Desconto
Cancel coupon,Cancel coupon
Enter discount code,Introduza o código de desconto
View Details,Ver Detalhes
Options Details,Detalhes das opções
...,...
Display your content for ,Display your content for 
Drag elements text or heading or buttons,Drag elements text or heading or buttons
Edit answer here.,Edit answer here.
Edit Heading Text,Edit Heading Text
Edit Description,Edit Description
Enter Quote,Enter Quote
Enter Author,Enter Author
View all,Ver tudo
Nothing matches your search,Nada corresponde à sua pesquisa
"%recipient_name,","%recipient_name,"
"Your friend  %sender_name,","Your friend  %sender_name,"
Send you a gift card which has balance %giftcard_balance,Send you a gift card which has balance %giftcard_balance
"%headline,","%headline,"
"%message,","%message,"
Shopping Cart,Carrinho de Compras
Recently added item(s),Recently added item(s)
of,of
Your cart is empty.,Seu carrinho está vazio.
You may check out all the available products and buy some in the shop.,Pode verificar todos os produtos disponíveis e comprar alguns na loja.
Return to shop,Retornar para a Loja
Proceed to Checkout,Ir para o Checkout
Items in Cart,Items no carrinho
See Details,Ver Detalhes
Edit item,Edit item
Remove item,Remove item
Adding...,Adcionando…
Added,Adicionado
Share on Facebook,Share on Facebook
Tweet,Tweet
Pin it,Pin it
Download image,Download image
Show Less,Show Less
Load More,Carregar mais
Please enter full information.,Please enter full information.
My Wish List,Minha Lista de Desejos
Compare Products,Comparar Produtos
Hide Menus,Hide Menus
Field ,Field 
 is required., is required.
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
Please Fill All Require Field!,Please Fill All Require Field!
Continue Paypal,Continue Paypal
New Address,Novo Endereço
Review & Payments,Review & Payments
Shipping,Envio
Save Address,Salvar Endereço
Please specify a shipping method.,Please specify a shipping method.
Please enter the number greater than or equal to 0!,Please enter the number greater than or equal to 0!
Please enter number!,Please enter number!
The file upload field is disabled.,The file upload field is disabled.
was not uploaded,was not uploaded
Question ,Question 
Please select valid Limited categories.,Please select valid Limited categories.
Auto Find,Auto Find
Reset Theme Design,Reset Theme Design
Are you sure you want to reset?,Are you sure you want to reset?
Notification,Notification
Reset successfully! Your admin panel and navigate to Blueskytechco > Theme Options > Theme Design > Press Save Config,Reset successfully! Your admin panel and navigate to Blueskytechco > Theme Options > Theme Design > Press Save Config
From ,From 
We could not detect a size.,We could not detect a size.
AjaxSuite,AjaxSuite
General Options,General Options
Enable AjaxSuite,Enable AjaxSuite
Ajax Cart,Ajax Cart
Action after Add to cart Success,Action after Add to cart Success
Ajax Wishlist,Ajax Wishlist
Login Popup Logo,Login Popup Logo
Background Image Popup,Background Image Popup
Ajax Compare,Ajax Compare
Product Questions,Product Questions
Manage Questions,Manage Questions
Customer Question Email,Customer Question Email
Email received,Email received
Email Template,Email Template
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
Delete stores,Delete stores
Are you sure you wan't to delete selected stores?,Are you sure you wan't to delete selected stores?
Customer Name,Customer Name
Question,Question
Created,Created
Page Banner Images,Page Banner Images
Upload Image,Upload Image
Hide Content Heading,Hide Content Heading
Hide Breadcrumbs,Hide Breadcrumbs
Breadcrumbs Position,Breadcrumbs Position
DailyDeal,DailyDeal
List DailyDeal Settings,List DailyDeal Settings
Category id,Category id
Appearance,Appearance
Margin,Margin
Space Between Item,Space Between Item
Columns Extra extra large,Columns Extra extra large
Columns Extra large,Columns Extra large
Columns Large,Columns Large
Columns Medium,Columns Medium
Columns Small,Columns Small
Columns Extra small,Columns Extra small
Desgin,Desgin
Number products,Number products
Data,Data
Select Gift Card,Select Gift Card
Select Grouped Product,Select Grouped Product
User Id,User Id
set User Id,set User Id
set Instagram Access Token,set Instagram Access Token
set Instagram Username,set Instagram Username
Number of Photos,Number of Photos
Number of photos from Instagram API,Number of photos from Instagram API
Fetch Posts,Fetch Posts
"Fetch Posts from Instagram API. Please enter User ID, Access Token, User Name Instagram > click Save Config before Submit","Fetch Posts from Instagram API. Please enter User ID, Access Token, User Name Instagram > click Save Config before Submit"
Instagram widget,Instagram widget
Image format,Image format
Yes,Yes
Show when disable Instagram caption,Show when disable Instagram caption
Templates Grid/List,Templates Grid/List
Templates Carousel,Templates Carousel
Margin Grid Vertical,Margin Grid Vertical
Image hover effects,Image hover effects
Rokanthemes,Rokanthemes
Configuration,Configuration
Layer Ajax,Layer Ajax
Layered Ajax,Layered Ajax
Enable Filter Ajax,Enable Filter Ajax
Open Tab Desktop,Open Tab Desktop
Open Tab Mobile,Open Tab Mobile
Show Count Item,Show Count Item
Price Slide Setting,Price Slide Setting
Enable Slide Price,Enable Slide Price
Rate Filter setting,Rate Filter setting
Enable Filter Rate,Enable Filter Rate
Lable,Lable
Collect Data Rate,Collect Data Rate
Show More Filter Item,Show More Filter Item
Number Item,Number Item
Menus Builder,Menus Builder
Horizontal Menu,Horizontal Menu
Dropdowns Animation,Dropdowns Animation
Title:,Title:
Vertical Menu,Vertical Menu
Limit show Item,Limit show Item
Default : 10 Item,Default : 10 Item
Limit show Item by screen,Limit show Item by screen
Small Desktop,Small Desktop
Smaller than default 1 or 2 items.,Smaller than default 1 or 2 items.
New Label BG Color,New Label BG Color
New Label Text Color,New Label Text Color
Sale Label BG Color,Sale Label BG Color
Sale Label Text Color,Sale Label Text Color
Hot Label BG Color,Hot Label BG Color
Hot Label Text Color,Hot Label Text Color
Enabled Flat Data,Enabled Flat Data
Run Flat,Run Flat
Menus Page Builder,Menus Page Builder
Show Menu Page Builder,Show Menu Page Builder
Select Menus,Select Menus
Main Menu,Main Menu
Builder Menu,Builder Menu
Add New Menu,Add New Menu
Import Menu,Import Menu
Import,Import
Uplaod File Import,Uplaod File Import
Sorting Fields,Sorting Fields
Enable Express Checkout,Enable Express Checkout
Seo Url,Seo Url
Page Title,Page Title
Show Order Comment on Checkout,Show Order Comment on Checkout
Show Checkbox Subscribe on Checkout,Show Checkbox Subscribe on Checkout
Title Box Subscribe Newletter,Title Box Subscribe Newletter
Default checkbox Subscribe on Checkout,Default checkbox Subscribe on Checkout
Show Discount Box on Checkout,Show Discount Box on Checkout
Show Gift Message on Checkout,Show Gift Message on Checkout
Show Widget After Place Order,Show Widget After Place Order
Cms Show after Place Order,Cms Show after Place Order
Show Shipping Delivery Date,Show Shipping Delivery Date
Title Box Shipping Delivery Date,Title Box Shipping Delivery Date
